Identifier,ARN,Resource type,Region,AWS Account,Application,LastReportedAt,Service,Tags,Tag:AWSServerlessAppNETCore,Tag:start-stop,Tag:Name,Tag:aws:backup:source-resource,Tag:osa,Tag:Start-Stop,Tag:aws:rds:primaryDBClusterArn,Tag:aws:secretsmanager:owningService,Tag:aws:cloudformation:stack-name,Tag:aws:cloudformation:stack-id,Tag:aws:cloudformation:logical-id,Tag:Project,Tag:Environment,Tag:lambda:createdBy,Tag:aws:elasticfilesystem:default-backup,Tag:Created-By,Tag:AWNCloudSensorVersion,Tag:AWNCloudSensorBuildNumber,Tag:AWNCloudSensor,Tag:devops-guru-default,Tag:aws:rds:primaryDBInstanceArn,Tag:User,Tag:Use,Tag:GuardDutyManaged,Tag:Description,Tag:Purpose,Tag:host,Tag:Lambda-ENI,Tag:QuickSetupType,Tag:QuickSetupVersion,Tag:QuickSetupID,Tag:Resource,Tag:Env,Tag:Module,Tag:name,Tag:Used,Tag:AWSServiceName,Tag:Enviroment,Tag:EC2,Tag:UsedBy,Tag:CreatedBy
rds:etraveler-rds-prod-2025-07-21-03-59,arn:aws:rds:us-east-2:054337747310:cluster-snapshot:rds:etraveler-rds-prod-2025-07-21-03-59,rds:cluster-snapshot,us-east-2,054337747310,-,Sun Jul 27 2025 13:08:27 GMT-0500 (Central Daylight Time),rds,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
op_production_bs_beats_events_sync,arn:aws:sqs:us-east-2:054337747310:op_production_bs_beats_events_sync,sqs:queue,us-east-2,054337747310,-,Sun Jul 27 2025 08:33:10 GMT-0500 (Central Daylight Time),sqs,1,true,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
QuanGuan,arn:aws:iam::054337747310:user/QuanGuan,iam:user,global,054337747310,-,Mon Jul 28 2025 05:51:05 GMT-0500 (Central Daylight Time),iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
sgr-07edd89ca46bc05ac,arn:aws:ec2:us-east-2:054337747310:security-group-rule/sgr-07edd89ca46bc05ac,ec2:security-group-rule,us-east-2,054337747310,-,Sat Jul 26 2025 14:49:47 GMT-0500 (Central Daylight Time),ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-0e1c343510f857996,arn:aws:ec2:us-east-2:054337747310:network-interface/eni-0e1c343510f857996,ec2:network-interface,us-east-2,054337747310,-,Fri Jul 25 2025 06:02:09 GMT-0500 (Central Daylight Time),ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
op_production_rb_data_provider,arn:aws:sqs:us-east-2:054337747310:op_production_rb_data_provider,sqs:queue,us-east-2,054337747310,-,Sun Jul 27 2025 08:33:10 GMT-0500 (Central Daylight Time),sqs,1,true,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
service-role/AWSLambdaBasicExecutionRole-e45ee446-50ad-4355-9bae-21b5288dc522,arn:aws:iam::054337747310:policy/service-role/AWSLambdaBasicExecutionRole-e45ee446-50ad-4355-9bae-21b5288dc522,iam:policy,global,054337747310,-,Tue Jul 29 2025 09:09:37 GMT-0500 (Central Daylight Time),iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
sgr-08a30b5438ebb47d3,arn:aws:ec2:us-east-2:054337747310:security-group-rule/sgr-08a30b5438ebb47d3,ec2:security-group-rule,us-east-2,054337747310,-,Sat Jul 26 2025 14:49:47 GMT-0500 (Central Daylight Time),ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
ami-0a16ed1601e175b4f,arn:aws:ec2:us-east-2:054337747310:image/ami-0a16ed1601e175b4f,ec2:image,us-east-2,054337747310,-,Mon Jul 28 2025 04:30:33 GMT-0500 (Central Daylight Time),ec2,3,(not tagged),Dmitry,Ubuntu-OSA-Dev,i-05d98683d91767d80:EC321A09-C4FE-64BC-D1B0-4AFD35F1A60A,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
firefly-events-schemas,arn:aws:events:us-east-2:054337747310:rule/firefly-events-schemas,events:rule,us-east-2,054337747310,-,Wed Jul 16 2025 02:48:52 GMT-0500 (Central Daylight Time),events,-,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
