ResourceARN,Region,TaggingMethod,TagsApplied,Status
arn:aws:acm:us-east-2:054337747310:certificate/ff327ba6-8518-4bf8-9afe-66348385fb70,us-east-2,resourcegroupstaggingapi,{'Application': 'vpn-client'},DRY-RUN
arn:aws:acm:us-east-2:054337747310:certificate/02425070-731d-4bad-acd5-1e030ff0f18f,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:acm:us-east-2:054337747310:certificate/851ec495-2559-4f97-bae6-b6710e4450f2,us-east-2,resourcegroupstaggingapi,{'Application': 'operator-portal'},DRY-RUN
arn:aws:acm:us-east-2:054337747310:certificate/ad6fdacf-824b-4b04-8be8-159d618e6cf8,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/8e917576-e85f-40dd-b3c9-4945c376c5a9,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/8135fcd2-b786-4f4f-8b68-6780565ca582,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/b0a0154f-d566-4d89-a007-25a25683e18b,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/04481338-5867-41b2-95c3-63eb6893610d,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/470fc11d-69bc-4ba2-b09d-c72e17d70b08,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/9e75136e-e35b-4be4-bbcf-e57000d323b6,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/bd10b84f-f370-42fa-9aa3-31c7672e014a,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/ba9e200a-3731-484e-a48a-8b15ace1e27b,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/95d45ce4-4647-4feb-aca1-887692ef7ac1,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/c1e62fed-30d2-4b27-88e4-3cc729bec105,us-east-2,resourcegroupstaggingapi,{'Application': 'bec'},DRY-RUN
arn:aws:acm:us-east-2:054337747310:certificate/3340b3e7-8818-402f-83f9-735f474ae1f7,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/63758a17-2c6b-4d2b-b0bd-991294147f6d,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/7648e842-4c6a-4e0b-b004-d8cebc0943d7,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/0ebdbc96-9cc0-4874-aa10-5ecff20afb57,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/c5f07f15-d4a8-45e7-ac66-c38b906d0710,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/2bbf38b5-5056-41c4-820e-8dd6249f7472,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-2:054337747310:certificate/53b32898-08cd-41a1-8565-8628b396fa1f,us-east-2,-,-,NO_MATCH
arn:aws:acm:us-east-1:054337747310:certificate/378ec42a-3622-4183-a62d-044e95d3e487,us-east-1,-,-,NO_MATCH
arn:aws:acm:us-east-1:054337747310:certificate/197f7cd7-c471-4d92-98f3-b76aaed013d8,us-east-1,-,-,NO_MATCH
arn:aws:acm:us-east-1:054337747310:certificate/8102f625-29a6-4b12-af95-80ef00fe37ee,us-east-1,-,-,NO_MATCH
arn:aws:acm:us-east-1:054337747310:certificate/2c981aca-0ef2-42de-b75d-78d7aac70ddc,us-east-1,-,-,NO_MATCH
arn:aws:cloudformation:us-east-2:054337747310:stack/RedCanaryIAM/499ddc10-42ed-11f0-b9f3-0a0a4fd91e81,us-east-2,-,-,NO_MATCH
arn:aws:cloudformation:us-east-2:054337747310:stack/RedCanaryResourceDiscoveryStack/85f65fd0-291a-11f0-9720-06fa751c1c27,us-east-2,-,-,NO_MATCH
arn:aws:cloudformation:us-east-2:054337747310:stack/production/9da06b10-b7e3-11ef-b392-02846cd5b029,us-east-2,resourcegroupstaggingapi,{'Environment': 'prod'},DRY-RUN
arn:aws:cloudformation:us-east-2:054337747310:stack/report-builder-lambda-production/799d60a0-dfd1-11ee-922b-0a4bdab88297,us-east-2,resourcegroupstaggingapi,"{'Environment': 'prod', 'Application': 'report', 'Owner': 'Sergey'}",DRY-RUN
arn:aws:cloudformation:us-east-2:054337747310:stack/rb-registry-production/9d190bc0-dfd0-11ee-992c-0a64367e35af,us-east-2,resourcegroupstaggingapi,{'Environment': 'prod'},DRY-RUN
arn:aws:cloudformation:us-east-2:054337747310:stack/report-builder-lambda-staging/5ecf9a50-dfc1-11ee-9071-02662f4cb827,us-east-2,resourcegroupstaggingapi,"{'Application': 'report', 'Owner': 'Sergey'}",DRY-RUN
arn:aws:cloudformation:us-east-2:054337747310:stack/rb-registry-staging/42c9cd60-dfaa-11ee-bec6-068d710779d1,us-east-2,resourcegroupstaggingapi,{'Application': 'bec'},DRY-RUN
arn:aws:cloudformation:us-east-2:054337747310:stack/databricks-workspace-stack-22ae9/2e10dad0-9856-11ee-b177-0a7e8b56b9c9,us-east-2,resourcegroupstaggingapi,{'Application': 'databricks'},DRY-RUN
arn:aws:cloudformation:us-east-2:054337747310:stack/report-builder-lambda-development/8b31b1e0-8d1a-11ee-9f55-064ef67d56ab,us-east-2,resourcegroupstaggingapi,"{'Environment': 'dev', 'Application': 'report', 'Owner': 'Sergey'}",DRY-RUN
arn:aws:cloudformation:us-east-2:054337747310:stack/rb-registry-development/92068300-87fd-11ee-babd-02b753789005,us-east-2,resourcegroupstaggingapi,{'Environment': 'dev'},DRY-RUN
arn:aws:cloudformation:us-east-2:054337747310:stack/staging/c4e449a0-2d90-11ee-9e09-0a6090a32647,us-east-2,-,-,NO_MATCH
arn:aws:cloudformation:us-east-2:054337747310:stack/StackSet-AWS-QuickSetup-SSMHostMgmt-LA-huoe0-3d8621b6-8666-4703-9c37-d6a197a6f7d0/6c51ae50-ac7b-11ec-93a8-0a941f9fb33a,us-east-2,-,-,NO_MATCH
arn:aws:cloudtrail:us-east-2:054337747310:trail/TrailEvents,us-east-2,resourcegroupstaggingapi,{'Application': 'ai'},DRY-RUN
arn:aws:cloudwatch:us-east-2:054337747310:alarm:502 bad gateway alert,us-east-2,-,-,NO_MATCH
arn:aws:cloudwatch:us-east-2:054337747310:alarm:HS1-BEC-Prod-Windows-LowCPU,us-east-2,resourcegroupstaggingapi,"{'Application': 'bec', 'Environment': 'prod', 'Owner': 'ec2'}",DRY-RUN
arn:aws:cloudwatch:us-east-2:054337747310:alarm:Outgoing Packets Alarm,us-east-2,-,-,NO_MATCH
arn:aws:cloudwatch:us-east-2:054337747310:alarm:UbuntuFEC-GreaterThanOrEqualToThreshold-CPUUtilization,us-east-2,resourcegroupstaggingapi,"{'Application': 'fec', 'Owner': 'ec2'}",DRY-RUN
arn:aws:cloudwatch:us-east-2:054337747310:alarm:UbuntuFEC-Lower4-CPUUtilization,us-east-2,resourcegroupstaggingapi,"{'Application': 'fec', 'Owner': 'ec2'}",DRY-RUN
arn:aws:cloudwatch:us-east-2:054337747310:alarm:awsec2-i-009756b5f85767b74_High-CPU-Utilization,us-east-2,-,-,NO_MATCH
arn:aws:cloudwatch:us-east-2:054337747310:alarm:awsrds-vivaquant-postgres-db-instance-High-DatabaseConnections,us-east-2,resourcegroupstaggingapi,{'Project': 'Vivaquant'},DRY-RUN
arn:aws:cloudwatch:us-east-2:054337747310:alarm:awsrds-vq-hs1-prod-sql-restored-High-CPU-Utilization,us-east-2,resourcegroupstaggingapi,"{'Application': 'hs1', 'Environment': 'prod', 'Owner': 'ec2'}",DRY-RUN
arn:aws:cloudwatch:us-east-2:054337747310:alarm:emr-redox-error,us-east-2,-,-,NO_MATCH
arn:aws:cloudwatch:us-east-2:054337747310:alarm:hs-fec-prod-LowCPU,us-east-2,resourcegroupstaggingapi,"{'Application': 'fec', 'Environment': 'prod', 'Owner': 'ec2'}",DRY-RUN
arn:aws:cloudformation:us-east-1:054337747310:stack/efs-production-browser-EFSFileWebApplication-11W3FOC3V7LTJ/dd8b70a0-68f6-11ed-9b47-0ad6163c7b79,us-east-1,resourcegroupstaggingapi,{'Environment': 'prod'},DRY-RUN
arn:aws:cloudformation:us-east-1:054337747310:stack/efs-production-browser/89839960-68f6-11ed-9f79-1281ad655da3,us-east-1,resourcegroupstaggingapi,{'Environment': 'prod'},DRY-RUN
arn:aws:codeartifact:us-east-2:054337747310:domain/rhythmexpress,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:cloudfront::054337747310:distribution/E3LY2VX7WIXDJ4,us-east-1,-,-,NO_MATCH
arn:aws:codeartifact:us-east-2:054337747310:repository/rhythmexpress/nuget-rhythmexpress,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:codeartifact:us-east-2:054337747310:repository/rhythmexpress/nuget-store,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/codebuild-cp-qa-automation,us-east-2,resourcegroupstaggingapi,{'Environment': 'qa'},DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/codebuild-et-qa-automation,us-east-2,resourcegroupstaggingapi,{'Environment': 'qa'},DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/prod-rhythmexpressecg,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress', 'Environment': 'prod'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/access-rhythmexpressecg,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/eraveler-dev,us-east-2,resourcegroupstaggingapi,{'Environment': 'dev'},DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/vq-website-public,us-east-2,resourcegroupstaggingapi,"{'Application': 'bs', 'Owner': 'ec2', 'Project': 'type-public'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/sales-rhythmexpressecg,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/codebuild-reportBuild,us-east-2,resourcegroupstaggingapi,"{'Application': 'report', 'Owner': 'Sergey'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/bsm,us-east-2,resourcegroupstaggingapi,{'Application': 'bsm'},DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/etraveler-dev,us-east-2,resourcegroupstaggingapi,{'Environment': 'dev'},DRY-RUN
arn:aws:codecommit:us-east-2:054337747310:VivaQuantCodeCommit,us-east-2,resourcegroupstaggingapi,{'Project': 'Vivaquant'},DRY-RUN
arn:aws:codecommit:us-east-2:054337747310:access.rhythmexpressecg,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
